1	-0.0006512
0.975	0.0053152
0.95	0.0113256
0.925	0.017292
0.9	0.0232232
0.875	0.0291544
0.85	0.0350504
0.825	0.0408672
0.8	0.0465608
0.775	0.0520344
0.75	0.0573496
0.725	0.0624448
0.7	0.0672232
0.675	0.0716672
0.65	0.0757152
0.625	0.0793144
0.6	0.0824912
0.575	0.0851312
0.55	0.0872696
0.5	0.0903672
0.45	0.0920128
0.4	0.0924
0.35	0.0915992
0.3	0.0894872
0.25	0.0860464
0.2	0.0810392
0.175	0.0778624
0.15	0.0740344
0.125	0.0695992
0.1	0.0643192
0.075	0.0577368
0.05	0.04928
0.0375	0.0437712
0.025	0.036652
0.0125	0.0270072
0.005	0.017908
0.002	0.01144
0	0
0.002	-0.0085712
0.005	-0.0127072
0.0125	-0.0180576
0.025	-0.0236808
0.0375	-0.0280808
0.05	-0.0314072
0.075	-0.0370392
0.1	-0.04136
0.125	-0.0447656
0.15	-0.0477488
0.175	-0.05016
0.2	-0.0521488
0.25	-0.055132
0.3	-0.0567424
0.35	-0.0573496
0.4	-0.0570504
0.45	-0.0558272
0.5	-0.0536008
0.55	-0.0500104
0.575	-0.0474848
0.6	-0.0445368
0.625	-0.0411664
0.65	-0.037532
0.675	-0.033704
0.7	-0.0297704
0.725	-0.025784
0.75	-0.0216568
0.775	-0.017864
0.8	-0.0139656
0.825	-0.0104808
0.85	-0.0074976
0.875	-0.004972
0.9	-0.0030976
0.925	-0.0021824
0.95	-0.0022616
0.975	-0.0034848
1	-0.0068904
