1	-0.00052235
0.975	0.00426353
0.95	0.00908471
0.925	0.01387059
0.9	0.01862824
0.875	0.02338588
0.85	0.02811529
0.825	0.03278118
0.8	0.03734824
0.775	0.04173882
0.75	0.04600235
0.725	0.05008941
0.7	0.05392235
0.675	0.05748706
0.65	0.06073412
0.625	0.06362118
0.6	0.06616941
0.575	0.06828706
0.55	0.07000235
0.5	0.07248706
0.45	0.07380706
0.4	0.07411765
0.35	0.07347529
0.3	0.07178118
0.25	0.06902118
0.2	0.06500471
0.175	0.06245647
0.15	0.05938588
0.125	0.05582824
0.1	0.05159294
0.075	0.04631294
0.05	0.03952941
0.0375	0.03511059
0.025	0.0294
0.0125	0.02166353
0.005	0.01436471
0.002	0.00917647
0	0
0.002	-0.00687529
0.005	-0.01019294
0.0125	-0.01448471
0.025	-0.01899529
0.0375	-0.02252471
0.05	-0.02519294
0.075	-0.02971059
0.1	-0.03317647
0.125	-0.03590824
0.15	-0.03830118
0.175	-0.04023529
0.2	-0.04183059
0.25	-0.04422353
0.3	-0.04551529
0.35	-0.04600235
0.4	-0.04576235
0.45	-0.04478118
0.5	-0.04299529
0.55	-0.04011529
0.575	-0.03808941
0.6	-0.03572471
0.625	-0.03302118
0.65	-0.03010588
0.675	-0.02703529
0.7	-0.02388
0.725	-0.02068235
0.75	-0.01737176
0.775	-0.01432941
0.8	-0.01120235
0.825	-0.00840706
0.85	-0.00601412
0.875	-0.00398824
0.9	-0.00248471
0.925	-0.00175059
0.95	-0.00181412
0.975	-0.00279529
1	-0.00552706
