t_web[horiz],h_overall[vert]
3.208754387074779207e-03,2.124369747899159874e-02
3.262929474816274756e-03,2.124369747899159874e-02
3.317104562557770305e-03,2.124369747899159874e-02
3.371279650299265854e-03,2.124369747899159874e-02
3.425454738040761404e-03,2.124369747899159874e-02
3.479629825782256953e-03,2.124369747899159874e-02
3.533804913523752502e-03,2.124369747899159874e-02
3.587980001265248051e-03,2.124369747899159874e-02
3.642155089006744034e-03,2.124369747899159874e-02
3.696330176748239583e-03,2.124369747899159874e-02
3.750505264489735133e-03,2.124369747899159874e-02
3.804680352231230682e-03,2.124369747899159874e-02
3.858855439972726231e-03,2.124369747899159874e-02
3.913030527714221780e-03,2.124369747899159874e-02
3.967205615455717330e-03,2.124369747899159874e-02
4.021380703197212879e-03,2.124369747899159874e-02
4.075555790938708428e-03,2.124369747899159874e-02
4.129730878680203977e-03,2.124369747899159874e-02
4.183905966421699527e-03,2.124369747899159874e-02
4.238081054163195076e-03,2.124369747899159874e-02
4.292256141904690625e-03,2.124369747899159874e-02
4.346431229646187042e-03,2.124369747899159874e-02
4.400606317387681723e-03,2.124369747899159874e-02
4.454781405129178140e-03,2.124369747899159874e-02
4.508956492870672822e-03,2.124369747899159874e-02
4.563131580612169239e-03,2.124369747899159874e-02
4.617306668353663920e-03,2.124369747899159874e-02
4.671481756095160337e-03,2.124369747899159874e-02
4.725656843836655019e-03,2.124369747899159874e-02
4.779831931578151435e-03,2.124369747899159874e-02
