     Alpha       T1_Re0.197_M0.06_N9.0    
           -6       0.006197457  
         -5.5       -0.02419047  
           -5         0.2343186  
         -4.5         0.3358833  
           -4         0.3900164  
         -3.5         0.4769648  
         -2.5         0.5916352  
           -2         0.6514603  
         -1.5         0.7099603  
         -0.5         0.8260003  
            0         0.8880579  
          0.5         0.9721926  
            1          1.007442  
          1.5          1.051157  
            2          1.098448  
          2.5          1.147368  
            3          1.194269  
          3.5           1.24365  
            4          1.295265  
          4.5          1.346861  
            5          1.398932  
          5.5          1.449385  
            6           1.49243  
          6.5          1.533777  
            7          1.575583  
          7.5          1.623506  
            8          1.678275  
          8.5          1.710873  
            9          1.737293  
          9.5          1.759632  
           10          1.779703  
         10.5          1.796638  
           11          1.813341  
         11.5          1.839614  
           12          1.823925  
         12.5          1.802219  
           13          1.750299  
         13.5          1.732903  
           14          1.703161  
         14.5          1.693486  
           15          1.692316  
         15.5          1.685715  
           16          1.681444  
         16.5          1.694013  
           17          1.687517  
         17.5          1.682078  
           18          1.673546  
         18.5          1.667606  
           19          1.667172  
           20          1.632649  

