ANGLE 30										
AOA	Cl	Cd								
0	1.0540321	0.11436558								
5	1.495324164	0.126000824								
8	1.736012079	0.136868196								
11	1.941929381	0.152654915								
14	2.092694205	0.176632035								
17	2.232358983	0.202555127								
21	2.312410387	0.323510862								
25	1.58222014	0.634173887								
										
										
										
										
										
										
										
										
										
										
										
										
										
										
