PLAIN 40		
AoA	Cl	Cd
0	1.3537	0.14221
5	1.696412461	0.159976848
6	1.751117133	0.164315722
7	1.798579889	0.169431888
8	1.838918161	0.175809579
9	1.872014955	0.184033972
10	1.893945627	0.194258662
11	1.903073211	0.207171593
12	1.898720123	0.223067624
13	1.87290066	0.24529097
14	1.81870801	0.276896354
15	1.57512305	0.359151958
17	1.346703781	0.710097682
20	1.30683062	0.736804877
21	1.314609025	0.770767435
25	1.333337038	0.909272019
