1	-0.000518
0.975	0.004228
0.95	0.009009
0.925	0.013755
0.9	0.018473
0.875	0.023191
0.85	0.027881
0.825	0.032508
0.8	0.037037
0.775	0.041391
0.75	0.045619
0.725	0.049672
0.7	0.053473
0.675	0.057008
0.65	0.060228
0.625	0.063091
0.6	0.065618
0.575	0.067718
0.55	0.069419
0.5	0.071883
0.45	0.073192
0.4	0.0735
0.35	0.072863
0.3	0.071183
0.25	0.068446
0.2	0.064463
0.175	0.061936
0.15	0.058891
0.125	0.055363
0.1	0.051163
0.075	0.045927
0.05	0.0392
0.0375	0.034818
0.025	0.029155
0.0125	0.021483
0.005	0.014245
0.002	0.0091
0	0
0.002	-0.006818
0.005	-0.010108
0.0125	-0.014364
0.025	-0.018837
0.0375	-0.022337
0.05	-0.024983
0.075	-0.029463
0.1	-0.0329
0.125	-0.035609
0.15	-0.037982
0.175	-0.0399
0.2	-0.041482
0.25	-0.043855
0.3	-0.045136
0.35	-0.045619
0.4	-0.045381
0.45	-0.044408
0.5	-0.042637
0.55	-0.039781
0.575	-0.037772
0.6	-0.035427
0.625	-0.032746
0.65	-0.029855
0.675	-0.02681
0.7	-0.023681
0.725	-0.02051
0.75	-0.017227
0.775	-0.01421
0.8	-0.011109
0.825	-0.008337
0.85	-0.005964
0.875	-0.003955
0.9	-0.002464
0.925	-0.001736
0.95	-0.001799
0.975	-0.002772
1	-0.005481
