t_web[horiz],h_overall[vert]
2.428369321857632226e-03,1.694117647058823728e-02
2.470290394071928720e-03,1.694117647058823728e-02
2.512211466286224781e-03,1.694117647058823728e-02
2.554132538500521275e-03,1.694117647058823728e-02
2.596053610714817769e-03,1.694117647058823728e-02
2.637974682929113829e-03,1.694117647058823728e-02
2.679895755143410323e-03,1.694117647058823728e-02
2.721816827357706817e-03,1.694117647058823728e-02
2.763737899572002877e-03,1.694117647058823728e-02
2.805658971786299371e-03,1.694117647058823728e-02
2.847580044000595865e-03,1.694117647058823728e-02
2.889501116214891925e-03,1.694117647058823728e-02
2.931422188429188419e-03,1.694117647058823728e-02
2.973343260643484913e-03,1.694117647058823728e-02
3.015264332857780973e-03,1.694117647058823728e-02
3.057185405072077467e-03,1.694117647058823728e-02
3.099106477286373961e-03,1.694117647058823728e-02
3.141027549500670021e-03,1.694117647058823728e-02
3.182948621714966515e-03,1.694117647058823728e-02
3.224869693929263009e-03,1.694117647058823728e-02
3.266790766143559070e-03,1.694117647058823728e-02
3.308711838357855563e-03,1.694117647058823728e-02
3.350632910572152057e-03,1.694117647058823728e-02
3.392553982786448118e-03,1.694117647058823728e-02
3.434475055000744612e-03,1.694117647058823728e-02
3.476396127215041106e-03,1.694117647058823728e-02
3.518317199429337166e-03,1.694117647058823728e-02
3.560238271643633660e-03,1.694117647058823728e-02
3.602159343857930154e-03,1.694117647058823728e-02
3.644080416072226214e-03,1.694117647058823728e-02
3.686001488286522708e-03,1.694117647058823728e-02
3.727922560500819202e-03,1.694117647058823728e-02
3.769843632715115262e-03,1.694117647058823728e-02
3.811764704929411756e-03,1.694117647058823728e-02
